name;division;region;city
Bare;Moungo;Littoral;Bare
Barndake;Benoue;Nord;Barndake
Basheo;Benoue;Nord;Basheo
Bassamba;Nde;Ouest;Bassamba
Batcham;Bamboutos;Ouest;Batcham
Batchenga;Lekie;Centre;Batchenga
Batibo;Momo;Nord-Ouest;Batibo
Batie;Hauts-Plateaux;Ouest;Batie
Batouri;Kadey;Est;Batouri
Bayangam;Koung-Khi;Ouest;Bayangam
Bazou;Nde;Ouest;Bazou
Beka;Faro;Nord;Beka
Belabo;Lom-et-Djerem;Est;Belabo
Belel;Vina;Adamaoua;Belel
Belo;Boyo;Nord-Ouest;Belo
Benakuma;Menchum;Nord-Ouest;Benakuma
Bengbis;Dja-et-Lobo;Sud;Bengbis
Bertoua Ier;Lom-et-Djerem;Est;Bertoua
Bertoua IIe;Lom-et-Djerem;Est;Bertoua
Betare-Oya;Lom-et-Djerem;Est;Betare-Oya
Bibemi;Benoue;Nord;Bibemi
Bibey;Haute-Sanaga;Centre;Bibey
Bikok;Mefou-et-Akono;Centre;Bikok
Bipindi;Ocean;Sud;Bipindi
Biwong-Bane;Mvila;Sud;Biwong-Bane
Biwong-Bulu;Mvila;Sud;Biwong-Bulu
Biyouha;Nyong-et-Kelle;Centre;Biyouha
Blangoua;Logone-et-Chari;Extr�me-Nord;Blangoua
Bogo;Diamare;Extr�me-Nord;Bogo
Bokito;Mbam-et-Inoubou;Centre;Bokito
Bonalea;Moungo;Littoral;Bonalea
Bondjock;Nyong-et-Kelle;Centre;Bondjock
Bot-Makak;Nyong-et-Kelle;Centre;Bot-Makak
Bourrha;Mayo-Tsanaga;Extr�me-Nord;Bourrha
Buea;Fako;Sud-Ouest;Buea
Campo;Ocean;Sud;Campo
Dargala;Diamare;Extr�me-Nord;Dargala
Darak;Diamare;Extr�me-Nord;Darak
Datcheka;Mayo-Danay;Extr�me-Nord;Datcheka
Dembo;Benoue;Nord;Dembo
Demdeng;Koung-Khi;Ouest;Demdeng
Deuk;Mbam-et-Inoubou;Centre;Deuk
Diang;Lom-et-Djerem;Est;Diang
Dibamba;Sanaga-Maritime;Littoral;Dibamba
Dibang;Nyong-et-Kelle;Centre;Dibang
Dibombari;Moungo;Littoral;Dibombari
Dikome-Balue;Ndian;Sud-Ouest;Dikome-Balue
Dimako;Haut-Nyong;Est;Dimako
Dir;Mbere;Adamaoua;Dir
Dizangue;Sanaga-Maritime;Littoral;Dizangue
Djohong;Mbere;Adamaoua;Djohong
Djoum;Dja-et-Lobo;Sud;Djoum
Douala Ier;Wouri;Littoral;Douala
Douala IIe;Wouri;Littoral;Douala
Douala IIIe;Wouri;Littoral;Douala
Douala IVe;Wouri;Littoral;Douala
Douala Ve;Wouri;Littoral;Douala
Douala VIe;Wouri;Littoral;Douala
Doumaintang;Haut-Nyong;Est;Doumaintang
Doume;Haut-Nyong;Est;Doume
Dschang;Menoua;Ouest;Dschang
Dzeng;Nyong-et-So'o;Centre;Dzeng
Dziguilao;Mayo-Kani;Extr�me-Nord;Dziguilao
Ebebda;Lekie;Centre;Ebebda
Ebolowa Ier;Mvila;Sud;Ebolowa
Ebolowa IIe;Mvila;Sud;Ebolowa
Ebone;Moungo;Littoral;Ebone
edea Ier;Sanaga-Maritime;Littoral;edea
edea IIe;Sanaga-Maritime;Littoral;edea
Edzendouan;Mefou-et-Afamba;Centre;Edzendouan
Efoulan;Mvila;Sud;Efoulan
Ekondo-Titi;Ndian;Sud-Ouest;Ekondo-Titi
Elak-Oku;Bui;Nord-Ouest;Elak-Oku
Elig-Mfomo;Lekie;Centre;Elig-Mfomo
Endom;Nyong-et-Mfoumou;Centre;Endom
eseka;Nyong-et-Kelle;Centre;eseka
Esse;Mefou-et-Afamba;Centre;Esse
Evodoula;Lekie;Centre;Evodoula
Eyumodjock;Manyu;Sud-Ouest;Eyumodjock
Figuil;Mayo-Louti;Nord;Figuil
Fokoue;Menoua;Ouest;Fokoue
Fonfuka;Boyo;Nord-Ouest;Fonfuka
Fongo-Tongo;Menoua;Ouest;Fongo-Tongo
Fotokol;Logone-et-Chari;Extr�me-Nord;Fotokol
Foumban;Noun;Ouest;Foumban
Foumbot;Noun;Ouest;Foumbot
Fundong;Boyo;Nord-Ouest;Fundong
Furu-Awa;Menchum;Nord-Ouest;Furu-Awa
Galim;Bamboutos;Ouest;Galim
Galim-Tignere;Faro-et-Deo;Adamaoua;Galim-Tignere
Gari-Gombo;Boumba-et-Ngoko;Est;Gari-Gombo
Garoua Ier;Benoue;Nord;Garoua
Garoua IIe;Benoue;Nord;Garoua
Garoua IIIe;Benoue;Nord;Garoua
Garoua-Boulai;Lom-et-Djerem;Est;Garoua-Boulai
Gashiga;Benoue;Nord;Gashiga
Gazawa;Diamare;Extr�me-Nord;Gazawa
Gobo;Mayo-Danay;Extr�me-Nord;Gobo
Goulfey;Logone-et-Chari;Extr�me-Nord;Goulfey
Gueme;Mayo-Danay;Extr�me-Nord;Gueme
Guere;Mayo-Danay;Extr�me-Nord;Guere
Guider;Mayo-Louti;Nord;Guider
Guidiguis;Mayo-Kani;Extr�me-Nord;Guidiguis
Hile-Alifa;Logone-et-Chari;Extr�me-Nord;Hile-Alifa
Hina;Mayo-Tsanaga;Extr�me-Nord;Hina
Idabato;Ndian;Sud-Ouest;Idabato
Isanguele;Ndian;Sud-Ouest;Isanguele
Jakiri;Bui;Nord-Ouest;Jakiri
Kaele;Mayo-Kani;Extr�me-Nord;Kaele
Kai-Kai;Mayo-Danay;Extr�me-Nord;Kai-Kai
Kalfou;Mayo-Danay;Extr�me-Nord;Kalfou
Kar-Hay;Mayo-Danay;Extr�me-Nord;Kar-Hay
Kekem;Haut-Nkam;Ouest;Kekem
Kentzou;Kadey;Est;Kentzou
Kette;Kadey;Est;Kette
Kiiki;Mbam-et-Inoubou;Centre;Kiiki
Kobdombo;Nyong-et-Mfoumou;Centre;Kobdombo
Kolofata;Mayo-Sava;Extr�me-Nord;Kolofata
Kombo-Abedimo;Ndian;Sud-Ouest;Kombo-Abedimo
Kombo-Idinti;Ndian;Sud-Ouest;Kombo-Idinti
Kon-Yambetta;Mbam-et-Inoubou;Centre;Kon-Yambetta
Kontcha;Faro-et-Deo;Adamaoua;Kontcha
Konye;Meme;Sud-Ouest;Konye
Kouoptamo;Noun;Ouest;Kouoptamo
Kousseri;Logone-et-Chari;Extr�me-Nord;Kousseri
Koutaba;Noun;Ouest;Koutaba
Koza;Mayo-Tsanaga;Extr�me-Nord;Koza
Kribi Ier;Ocean;Sud;Kribi
Kribi IIe;Ocean;Sud;Kribi
Kumba Ier;Meme;Sud-Ouest;Kumba
Kumba IIe;Meme;Sud-Ouest;Kumba
Kumba IIIe;Meme;Sud-Ouest;Kumba
Kumbo;Bui;Nord-Ouest;Kumbo
Kye-Ossi;Vallee-du-Ntem;Sud;Kye-Ossi
Lagdo;Benoue;Nord;Lagdo
Lembe-Yezoum;Haute-Sanaga;Centre;Lembe-Yezoum
